0,::2022-05-21 06:04:07::,Optm,Number Of Requests: ,50,Number Of Nodes: ,15,Time is:,23,ms delay.
7,::2022-05-21 06:04:07::,Norm,Number Of Requests: ,50,Number Of Nodes: ,15,Time is:,749,ms delay.
7,::2022-05-21 06:04:07::,Optm,Number Of Requests: ,50,Number Of Nodes: ,15,Time is:,24,ms delay.
11,::2022-05-21 06:04:07::,Norm,Number Of Requests: ,50,Number Of Nodes: ,15,Time is:,829,ms delay.
11,::2022-05-21 06:04:07::,Optm,Number Of Requests: ,50,Number Of Nodes: ,15,Time is:,36,ms delay.
14,::2022-05-21 06:04:07::,Norm,Number Of Requests: ,50,Number Of Nodes: ,15,Time is:,908,ms delay.
14,::2022-05-21 06:04:07::,Optm,Number Of Requests: ,50,Number Of Nodes: ,15,Time is:,48,ms delay.
4,::2022-05-21 06:04:07::,Norm,Number Of Requests: ,50,Number Of Nodes: ,15,Time is:,1015,ms delay.
4,::2022-05-21 06:04:08::,Optm,Number Of Requests: ,50,Number Of Nodes: ,15,Time is:,30,ms delay.
2,::2022-05-21 06:04:08::,Norm,Number Of Requests: ,50,Number Of Nodes: ,15,Time is:,1091,ms delay.
2,::2022-05-21 06:04:08::,Optm,Number Of Requests: ,50,Number Of Nodes: ,15,Time is:,34,ms delay.
4,::2022-05-21 06:04:08::,Norm,Number Of Requests: ,50,Number Of Nodes: ,15,Time is:,79,ms delay.
4,::2022-05-21 06:04:08::,Optm,Number Of Requests: ,50,Number Of Nodes: ,15,Time is:,31,ms delay.
14,::2022-05-21 06:04:08::,Norm,Number Of Requests: ,50,Number Of Nodes: ,15,Time is:,172,ms delay.
14,::2022-05-21 06:04:08::,Optm,Number Of Requests: ,50,Number Of Nodes: ,15,Time is:,29,ms delay.
11,::2022-05-21 06:04:08::,Norm,Number Of Requests: ,50,Number Of Nodes: ,15,Time is:,285,ms delay.
11,::2022-05-21 06:04:08::,Optm,Number Of Requests: ,50,Number Of Nodes: ,15,Time is:,20,ms delay.
7,::2022-05-21 06:04:08::,Norm,Number Of Requests: ,50,Number Of Nodes: ,15,Time is:,371,ms delay.
7,::2022-05-21 06:04:08::,Optm,Number Of Requests: ,50,Number Of Nodes: ,15,Time is:,20,ms delay.
0,::2022-05-21 06:04:08::,Norm,Number Of Requests: ,50,Number Of Nodes: ,15,Time is:,429,ms delay.
0,::2022-05-21 06:04:08::,Optm,Number Of Requests: ,50,Number Of Nodes: ,15,Time is:,20,ms delay.
13,::2022-05-21 06:04:08::,Norm,Number Of Requests: ,50,Number Of Nodes: ,15,Time is:,498,ms delay.
13,::2022-05-21 06:04:08::,Optm,Number Of Requests: ,50,Number Of Nodes: ,15,Time is:,20,ms delay.
5,::2022-05-21 06:04:08::,Norm,Number Of Requests: ,50,Number Of Nodes: ,15,Time is:,574,ms delay.
5,::2022-05-21 06:04:08::,Optm,Number Of Requests: ,50,Number Of Nodes: ,15,Time is:,43,ms delay.
10,::2022-05-21 06:04:08::,Norm,Number Of Requests: ,50,Number Of Nodes: ,15,Time is:,678,ms delay.
10,::2022-05-21 06:04:08::,Optm,Number Of Requests: ,50,Number Of Nodes: ,15,Time is:,43,ms delay.
12,::2022-05-21 06:04:08::,Norm,Number Of Requests: ,50,Number Of Nodes: ,15,Time is:,798,ms delay.
12,::2022-05-21 06:04:08::,Optm,Number Of Requests: ,50,Number Of Nodes: ,15,Time is:,45,ms delay.
1,::2022-05-21 06:04:08::,Norm,Number Of Requests: ,50,Number Of Nodes: ,15,Time is:,919,ms delay.
1,::2022-05-21 06:04:08::,Optm,Number Of Requests: ,50,Number Of Nodes: ,15,Time is:,44,ms delay.
6,::2022-05-21 06:04:08::,Norm,Number Of Requests: ,50,Number Of Nodes: ,15,Time is:,1015,ms delay.
6,::2022-05-21 06:04:08::,Optm,Number Of Requests: ,50,Number Of Nodes: ,15,Time is:,42,ms delay.
8,::2022-05-21 06:04:08::,Norm,Number Of Requests: ,50,Number Of Nodes: ,15,Time is:,1128,ms delay.
8,::2022-05-21 06:04:08::,Optm,Number Of Requests: ,50,Number Of Nodes: ,15,Time is:,39,ms delay.
9,::2022-05-21 06:04:08::,Norm,Number Of Requests: ,50,Number Of Nodes: ,15,Time is:,1222,ms delay.
9,::2022-05-21 06:04:08::,Optm,Number Of Requests: ,50,Number Of Nodes: ,15,Time is:,47,ms delay.
