14,::2022-05-21 06:01:28::,Optm,Number Of Requests: ,50,Number Of Nodes: ,15,Time is:,15,ms delay.
3,::2022-05-21 06:01:28::,Norm,Number Of Requests: ,50,Number Of Nodes: ,15,Time is:,290,ms delay.
3,::2022-05-21 06:01:28::,Optm,Number Of Requests: ,50,Number Of Nodes: ,15,Time is:,24,ms delay.
13,::2022-05-21 06:01:28::,Norm,Number Of Requests: ,50,Number Of Nodes: ,15,Time is:,333,ms delay.
13,::2022-05-21 06:01:28::,Optm,Number Of Requests: ,50,Number Of Nodes: ,15,Time is:,19,ms delay.
1,::2022-05-21 06:01:28::,Norm,Number Of Requests: ,50,Number Of Nodes: ,15,Time is:,376,ms delay.
1,::2022-05-21 06:01:28::,Optm,Number Of Requests: ,50,Number Of Nodes: ,15,Time is:,19,ms delay.
5,::2022-05-21 06:01:28::,Norm,Number Of Requests: ,50,Number Of Nodes: ,15,Time is:,409,ms delay.
5,::2022-05-21 06:01:28::,Optm,Number Of Requests: ,50,Number Of Nodes: ,15,Time is:,15,ms delay.
8,::2022-05-21 06:01:28::,Norm,Number Of Requests: ,50,Number Of Nodes: ,15,Time is:,451,ms delay.
5,::2022-05-21 06:01:28::,Norm,Number Of Requests: ,50,Number Of Nodes: ,15,Time is:,20,ms delay.
8,::2022-05-21 06:01:28::,Optm,Number Of Requests: ,50,Number Of Nodes: ,15,Time is:,17,ms delay.
5,::2022-05-21 06:01:28::,Optm,Number Of Requests: ,50,Number Of Nodes: ,15,Time is:,17,ms delay.
1,::2022-05-21 06:01:28::,Norm,Number Of Requests: ,50,Number Of Nodes: ,15,Time is:,59,ms delay.
1,::2022-05-21 06:01:28::,Optm,Number Of Requests: ,50,Number Of Nodes: ,15,Time is:,18,ms delay.
13,::2022-05-21 06:01:28::,Norm,Number Of Requests: ,50,Number Of Nodes: ,15,Time is:,106,ms delay.
3,::2022-05-21 06:01:28::,Norm,Number Of Requests: ,50,Number Of Nodes: ,15,Time is:,140,ms delay.
13,::2022-05-21 06:01:28::,Optm,Number Of Requests: ,50,Number Of Nodes: ,15,Time is:,20,ms delay.
3,::2022-05-21 06:01:28::,Optm,Number Of Requests: ,50,Number Of Nodes: ,15,Time is:,18,ms delay.
14,::2022-05-21 06:01:28::,Norm,Number Of Requests: ,50,Number Of Nodes: ,15,Time is:,185,ms delay.
14,::2022-05-21 06:01:28::,Optm,Number Of Requests: ,50,Number Of Nodes: ,15,Time is:,15,ms delay.
6,::2022-05-21 06:01:28::,Norm,Number Of Requests: ,50,Number Of Nodes: ,15,Time is:,218,ms delay.
6,::2022-05-21 06:01:28::,Optm,Number Of Requests: ,50,Number Of Nodes: ,15,Time is:,16,ms delay.
9,::2022-05-21 06:01:28::,Norm,Number Of Requests: ,50,Number Of Nodes: ,15,Time is:,248,ms delay.
9,::2022-05-21 06:01:28::,Optm,Number Of Requests: ,50,Number Of Nodes: ,15,Time is:,14,ms delay.
7,::2022-05-21 06:01:28::,Norm,Number Of Requests: ,50,Number Of Nodes: ,15,Time is:,289,ms delay.
7,::2022-05-21 06:01:28::,Optm,Number Of Requests: ,50,Number Of Nodes: ,15,Time is:,14,ms delay.
11,::2022-05-21 06:01:29::,Norm,Number Of Requests: ,50,Number Of Nodes: ,15,Time is:,328,ms delay.
11,::2022-05-21 06:01:29::,Optm,Number Of Requests: ,50,Number Of Nodes: ,15,Time is:,15,ms delay.
12,::2022-05-21 06:01:29::,Norm,Number Of Requests: ,50,Number Of Nodes: ,15,Time is:,365,ms delay.
12,::2022-05-21 06:01:29::,Optm,Number Of Requests: ,50,Number Of Nodes: ,15,Time is:,13,ms delay.
10,::2022-05-21 06:01:29::,Norm,Number Of Requests: ,50,Number Of Nodes: ,15,Time is:,394,ms delay.
10,::2022-05-21 06:01:29::,Optm,Number Of Requests: ,50,Number Of Nodes: ,15,Time is:,14,ms delay.
2,::2022-05-21 06:01:29::,Norm,Number Of Requests: ,50,Number Of Nodes: ,15,Time is:,419,ms delay.
2,::2022-05-21 06:01:29::,Optm,Number Of Requests: ,50,Number Of Nodes: ,15,Time is:,13,ms delay.
0,::2022-05-21 06:01:29::,Norm,Number Of Requests: ,50,Number Of Nodes: ,15,Time is:,453,ms delay.
4,::2022-05-21 06:01:29::,Norm,Number Of Requests: ,50,Number Of Nodes: ,15,Time is:,482,ms delay.
0,::2022-05-21 06:01:29::,Optm,Number Of Requests: ,50,Number Of Nodes: ,15,Time is:,20,ms delay.
2,::2022-05-21 06:01:29::,Norm,Number Of Requests: ,50,Number Of Nodes: ,15,Time is:,33,ms delay.
4,::2022-05-21 06:01:29::,Optm,Number Of Requests: ,50,Number Of Nodes: ,15,Time is:,22,ms delay.
